--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
23:05:48.376 >    916s | 43.3 | 31.0 |  12.37 |  185.62 |  50.00 |  0.00 | 100.0 | 100%
23:05:49.146 >    917s | 43.3 | 31.0 |  12.31 |  184.68 |  50.00 | -0.12 | 100.0 | 100%
23:05:49.917 >    918s | 43.1 | 31.0 |  12.12 |  181.87 |  50.00 | -0.37 | 100.0 | 100%
23:05:50.687 >    919s | 42.6 | 31.0 |  11.68 |  175.31 |  50.00 | -0.87 | 100.0 | 100%
23:05:51.458 >    920s | 42.0 | 31.0 |  11.06 |  165.93 |  50.00 | -1.25 | 100.0 | 100%
23:05:52.228 >    921s | 41.4 | 31.0 |  10.43 |  156.56 |  50.00 | -1.25 | 100.0 | 100%
23:05:52.998 >    922s | 40.9 | 31.0 |  9.93 |  149.06 |  50.00 | -1.00 | 100.0 | 100%
23:05:53.769 >    923s | 40.3 | 31.0 |  9.37 |  140.62 |  50.00 | -1.12 | 100.0 | 100%
23:05:54.539 >    924s | 39.8 | 31.0 |  8.81 |  132.18 |  50.00 | -1.12 | 100.0 | 100%
23:05:55.309 >    925s | 39.3 | 31.0 |  8.31 |  124.68 |  50.00 | -1.00 | 100.0 | 100%
23:05:56.080 >    926s | 38.8 | 31.0 |  7.81 |  117.18 |  50.00 | -1.00 | 100.0 | 100%
23:05:56.850 >    927s | 38.3 | 31.0 |  7.37 |  110.62 |  50.00 | -0.87 | 100.0 | 100%
23:05:57.621 >    928s | 37.9 | 31.0 |  6.93 |  104.06 |  50.00 | -0.87 | 100.0 | 100%
23:05:58.391 >    929s | 37.5 | 31.0 |  6.50 |  97.50 |  50.00 | -0.87 | 100.0 | 100%
23:05:59.162 >    930s | 37.0 | 31.0 |  6.06 |  90.93 |  50.00 | -0.87 | 100.0 | 100%
23:05:59.932 >    931s | 36.6 | 31.0 |  5.68 |  85.31 |  50.00 | -0.75 | 100.0 | 100%
23:06:00.703 >    932s | 36.3 | 31.0 |  5.31 |  79.68 |  50.00 | -0.75 | 100.0 | 100%
